ID,编号,年,日期,月,日,姓名,收款方式,数量1,数量2,数量3,数量4,数量5,数量6,单价1,单价2,单价3,地址,收款人,实耗1,实耗2,实耗3,金额4
1,,2022,,7,8,,364754,201,0,0,219,0,0,4,5,,A1-1,管理员,18,0,0,0
2,,2022,,7,8,,364754,589,0,0,635,0,0,4,5,,A1-2,管理员,46,0,0,0
3,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-3,管理员,0,0,0,0
4,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-4,管理员,0,0,0,0
5,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-5,管理员,0,0,0,0
6,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-6,管理员,0,0,0,0
7,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-7,管理员,0,0,0,0
8,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-8,管理员,0,0,0,0
9,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-9,管理员,0,0,0,0
10,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-10,管理员,0,0,0,0
11,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-11,管理员,0,0,0,0
12,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-12,管理员,0,0,0,0
13,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-13,管理员,0,0,0,0
14,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-14,管理员,0,0,0,0
15,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-15,管理员,0,0,0,0
16,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-16,管理员,0,0,0,0
17,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-17,管理员,0,0,0,0
18,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-18,管理员,0,0,0,0
19,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-19,管理员,0,0,0,0
20,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-20,管理员,0,0,0,0
21,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-21,管理员,0,0,0,0
22,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-22,管理员,0,0,0,0
23,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-23,管理员,0,0,0,0
24,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-24,管理员,0,0,0,0
25,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-25,管理员,0,0,0,0
26,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-26,管理员,0,0,0,0
27,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-27,管理员,0,0,0,0
28,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-28,管理员,0,0,0,0
29,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-29,管理员,0,0,0,0
30,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-30,管理员,0,0,0,0
31,,2022,,7,8,,364754,0,0,0,0,0,0,4,5,,A1-31,管理员,0,0,0,0
